frame,common_gt_count,det_pred_count,seg_pred_count,det_count_error_commonGT,seg_count_error_commonGT,det_abs_count_error_commonGT,seg_abs_count_error_commonGT,det_gt_box_occupancy,det_pred_box_occupancy,det_abs_box_occupancy_error,seg_gt_mask_occupancy,seg_pred_mask_occupancy,seg_abs_mask_occupancy_error
00014,1,1,0,0,-1,0,1,0.006103338996,0.0069773096,0.0008739706040000001,0.0023032408587514985,0.0,0.0023032408587514985
00019,1,1,2,0,1,0,1,0.02549108601,0.027823556826,0.002332470816,0.004119888189260124,0.009999998524249994,0.00588011033498987
00020,2,1,3,-1,1,1,1,0.031173510695999995,0.038464068941999996,0.007290558246000001,0.008548177169394218,0.01508460286425001,0.006536425694855791
00021,1,2,2,1,1,1,1,0.035619637986,0.0494718274315,0.013852189445499999,0.011077594027601778,0.013956126388500004,0.002878532360898226
00022,2,2,2,0,0,0,0,0.047786694684,0.0566468464314,0.0088601517474,0.017522907237411872,0.017643222916999976,0.00012031567958810385
00023,2,2,2,0,0,0,0,0.047597098842,0.056032874291099995,0.008435775449099993,0.022178336576139684,0.02221134652925006,3.3009953110375856e-05
00024,2,2,2,0,0,0,0,0.050445086442000006,0.0661494421536,0.01570435571159999,0.027227768775614905,0.02796002430500002,0.0007322555293851132
00025,2,2,3,0,1,0,1,0.059189695406,0.068575434512,0.009385739106000004,0.02873914817878527,0.03228078263725002,0.003541634458464747
00026,2,2,3,0,1,0,1,0.068371616937,0.078072275163,0.009700658225999997,0.02939404905129861,0.03735236006925,0.007958311017951393
00027,2,2,3,0,1,0,1,0.08214644479000001,0.093709546506,0.011563101715999988,0.033806907017596366,0.042137507551499975,0.00833060053390361
00028,3,2,2,-1,-1,1,1,0.08757880650500001,0.09675440239,0.009175595884999985,0.03844593958443539,0.04025163975600002,0.001805700171564631
00029,3,2,2,-1,-1,1,1,0.093620097657,0.09962732812399999,0.0060072304669999965,0.04130545898000068,0.04247169704825014,0.0011662380682494616
00030,3,2,2,-1,-1,1,1,0.10395731303200001,0.105536132652,0.001578819619999991,0.04379267882424295,0.04476990972125004,0.0009772308970070892
00031,3,2,3,-1,0,1,0,0.10668920298600001,0.104216542902,0.002472660084000017,0.05019555336328964,0.05447697925299997,0.004281425889710332
00032,3,3,3,0,0,0,0,0.10945638708,0.117121057936,0.007664670856000005,0.054490981296128865,0.05811847039874997,0.0036274891026211037
00033,3,3,3,0,0,0,0,0.117477802452,0.127825640922,0.010347838469999995,0.05827425511872254,0.06296659262174994,0.004692337503027402
00034,3,3,3,0,0,0,0,0.13662340893,0.1412845365224,0.004661127592400005,0.06464023794596392,0.06854817274299999,0.003907934797036064
00035,3,3,3,0,0,0,0,0.148162209135,0.154260358076,0.006098148940999998,0.06750265139365519,0.07154079374975005,0.0040381423560948565
00036,3,3,4,0,1,0,1,0.161743972126,0.174289607696,0.012545635569999991,0.06544174473548925,0.07441402439224973,0.008972279656760479
00037,3,3,4,0,1,0,1,0.173130722618,0.185861901614,0.012731178996000014,0.06821421759542434,0.07697262005425018,0.008758402458825837
00038,3,3,4,0,1,0,1,0.181760391614,0.19598350666900002,0.014223115055000013,0.07102888666017959,0.07934471892724983,0.008315832267070236
00039,3,3,5,0,2,0,2,0.189795051999,0.19796703888900002,0.008171986890000038,0.07426649537731045,0.08550134748524997,0.011234852107939522
00040,4,3,4,-1,0,1,0,0.205805493063,0.21298872854099998,0.007183235477999983,0.08143494329494086,0.08298176276049982,0.0015468194655589573
00041,4,4,3,0,-1,0,1,0.213451213414,0.22156519964099997,0.008113986226999964,0.08612799035777186,0.08954641831650009,0.0034184279587282373
00042,4,4,4,0,0,0,0,0.22111495097699996,0.21890904934199998,0.0022059016349999794,0.08964940296427988,0.09633689678925016,0.006687493824970275
00043,4,4,4,0,0,0,0,0.21998567465,0.2155452769606,0.004440397689399994,0.09165629943791206,0.10682498602449991,0.015168686586587848
00044,4,3,4,-1,0,1,0,0.21974637690100002,0.223035070666,0.0032886937649999892,0.09470799701135907,0.11095698307250006,0.016248986061140988
00045,4,5,4,1,0,1,0,0.22377014788299998,0.314365521344,0.090595373461,0.09700472370160237,0.11808803819499966,0.021083314493397287
00046,4,4,5,0,1,0,1,0.226735893714,0.23389618677000001,0.007160293056000022,0.09690152294732457,0.11572488428650009,0.018823361339175518
00047,4,6,5,2,1,2,1,0.230235263136,0.435873140335,0.205637877199,0.10409649956800315,0.15765179001850033,0.05355529045049717
00048,4,4,5,0,1,0,1,0.23968718128600003,0.256257756923,0.016570575636999985,0.10853250541579851,0.12070533064049975,0.012172825224701242
00049,4,4,5,0,1,0,1,0.242971652469,0.25237443260200004,0.009402780133000055,0.11100622123899817,0.1193402980025,0.008334076763501827
00050,4,6,4,2,0,2,0,0.237623329851,0.44961674807999996,0.21199341822899997,0.11024281467955033,0.11651264314250023,0.006269828462949906
00051,4,5,4,1,0,1,0,0.23813563432100002,0.381035770889,0.14290013656799996,0.10995225441624268,0.11284097048799982,0.0028887160717571414
00052,4,4,4,0,0,0,0,0.225929332411,0.24400982484400002,0.01808049243300003,0.11162326147107593,0.11610246528150034,0.004479203810424409
00053,4,4,4,0,0,0,0,0.22146365022799996,0.25623833571,0.03477468548200002,0.11427806482907976,0.11503909409450036,0.0007610292654205986
00054,5,5,4,0,-1,0,1,0.236713132473,0.262692331853,0.025979199380000012,0.11854624793483536,0.11915581953375023,0.0006095715989148792
00055,5,5,4,0,-1,0,1,0.24216562966299998,0.2790460631836,0.0368804335206,0.12081742078349433,0.11270398359050002,0.008113437192994316
00056,5,5,4,0,-1,0,1,0.19640232920399997,0.25857850150100004,0.062176172297000065,0.12321807558368453,0.11572916623049984,0.007488909353184692
00057,5,4,4,-1,-1,1,1,0.201137234538,0.21796994518010002,0.016832710642100013,0.12551673807538535,0.11243497682750014,0.01308176124788521
00058,5,4,5,-1,0,1,0,0.213481714629,0.21658831846099996,0.0031066038319999545,0.11534505465068434,0.1081770514755001,0.007168003175184248
00059,6,6,6,0,0,0,0,0.23028362588299994,0.33147653939900007,0.10119291351600013,0.11044487842175504,0.11071618585075026,0.00027130742899521276
00060,6,4,5,-2,-1,2,1,0.232160262021,0.24287648296199998,0.010716220940999971,0.10627893757298534,0.10342012534799977,0.002858812224985574
